schema_version,scenario,edge_index,workspace_bound_m,swept_samples,swept_valid,dense_valid,false_safe,conservative_rejection,swept_latency_ms,dense_latency_ms
armbench.mujoco_swept_audit.v1,free_space,0,4.771843907476668,478,True,True,False,False,31.67070000199601,56.537099997512996
armbench.mujoco_swept_audit.v1,free_space,1,5.634268948062936,564,True,True,False,False,38.70289999758825,108.49959999904968
armbench.mujoco_swept_audit.v1,free_space,2,7.229269516844672,723,True,True,False,False,43.48540000501089,147.33210000849795
armbench.mujoco_swept_audit.v1,free_space,3,4.007693003070696,401,True,True,False,False,23.452800000086427,72.76589999673888
armbench.mujoco_swept_audit.v1,free_space,4,6.992796132957112,700,True,True,False,False,39.969399993424304,110.84539999137633
armbench.mujoco_swept_audit.v1,free_space,5,7.552514623970141,756,True,True,False,False,39.11060000245925,59.85520000103861
armbench.mujoco_swept_audit.v1,free_space,6,7.559692894136961,756,True,True,False,False,39.73420000693295,82.48529999400489
armbench.mujoco_swept_audit.v1,free_space,7,9.547246580790919,955,True,True,False,False,45.20040001079906,89.80950000113808
armbench.mujoco_swept_audit.v1,free_space,8,10.100803755441795,1011,True,True,False,False,48.99989999830723,125.77819998841733
armbench.mujoco_swept_audit.v1,free_space,9,8.159817528639369,816,True,True,False,False,40.28999998990912,78.22899999155197
armbench.mujoco_swept_audit.v1,free_space,10,9.055195308839123,906,True,True,False,False,45.79460000968538,106.52430000482127
armbench.mujoco_swept_audit.v1,free_space,11,7.801577022531272,781,True,True,False,False,39.168499992229044,200.92469999508467
armbench.mujoco_swept_audit.v1,free_space,12,5.3980199242913685,540,True,True,False,False,49.63699998916127,116.81700000190176
armbench.mujoco_swept_audit.v1,free_space,13,5.510308172360163,552,False,False,False,False,0.6200999923748896,0.6375999946612865
armbench.mujoco_swept_audit.v1,free_space,14,7.811121951463894,782,True,True,False,False,94.43139999348205,173.4464999899501
armbench.mujoco_swept_audit.v1,free_space,15,5.836981845394078,584,True,True,False,False,170.9705999965081,278.8247999997111
armbench.mujoco_swept_audit.v1,free_space,16,10.108476631512277,1011,True,True,False,False,90.49339999910444,268.2774999993853
armbench.mujoco_swept_audit.v1,free_space,17,12.455019071067031,1246,True,True,False,False,125.6897000130266,237.64390000724234
armbench.mujoco_swept_audit.v1,free_space,18,6.349190653658625,635,True,True,False,False,69.94309999572579,114.58439999842085
armbench.mujoco_swept_audit.v1,free_space,19,7.205779396182805,721,True,True,False,False,56.09389999881387,98.34769999724813
armbench.mujoco_swept_audit.v1,free_space,20,4.859597256035093,486,True,True,False,False,32.5680999958422,114.7793999989517
armbench.mujoco_swept_audit.v1,free_space,21,10.289325036124506,1029,True,True,False,False,86.39909999328665,138.45559999754187
armbench.mujoco_swept_audit.v1,free_space,22,5.18848788205873,519,True,True,False,False,47.62440000195056,99.7124999994412
armbench.mujoco_swept_audit.v1,free_space,23,6.199907172575903,620,True,True,False,False,52.90309998963494,211.92649999284185
armbench.mujoco_swept_audit.v1,single_block,0,4.771843907476668,478,False,False,False,False,7.271399997989647,9.925100006512366
armbench.mujoco_swept_audit.v1,single_block,1,6.3758968860374,638,True,True,False,False,30.298500001663342,49.41490000055637
armbench.mujoco_swept_audit.v1,single_block,2,6.585621959389136,659,True,True,False,False,49.35260000638664,79.50020000862423
armbench.mujoco_swept_audit.v1,single_block,3,2.205963992059627,221,True,True,False,False,9.271000002627261,39.46459999133367
armbench.mujoco_swept_audit.v1,single_block,4,7.304986589578325,731,False,False,False,False,0.36029999318998307,0.3335000074002892
armbench.mujoco_swept_audit.v1,single_block,5,7.865081473000654,787,False,False,False,False,7.550800000899471,10.129699992830865
