schema_version,scope,task_suite,task_id,selected_task_count,suite_task_count,suite_coverage_complete,mode,replan_steps,latency_steps,injected_latency_ms,fixed_refresh_interval,rollouts,eligible_rollouts,successes,success_rate,success_wilson95_low,success_wilson95_high,per_protocol_successes,per_protocol_success_rate,per_protocol_wilson95_low,per_protocol_wilson95_high,mean_policy_queries,mean_rejections,mean_stale_action_steps,mean_environment_steps,inference_latency_p50_ms,inference_latency_p95_ms,policy_inference_latency_p50_ms,policy_inference_latency_p95_ms,server_inference_latency_p50_ms,server_inference_latency_p95_ms,excluded_per_protocol_failures,policy_contract_failures,policy_timeout_failures,all_recorded_failures,excluded_failure_categories
armbench.pi05_libero_async.v1,selected_tasks,libero_spatial,,10,10,True,async_unguarded,5,0,0.0,,50,50,49,0.98,0.8950455641036219,0.9964607407283539,49,0.98,0.8950455641036219,0.9964607407283539,22.14,0.0,0.0,119.18,80.43360300143831,82.95043199759675,57.825717001833254,58.1031793008151,79.59090799704427,81.86641600113944,0,0,0,0,[]
armbench.pi05_libero_async.v1,selected_tasks,libero_spatial,,10,10,True,async_unguarded,5,2,100.0,,50,50,41,0.82,0.6920394632569922,0.9022980732976582,41,0.82,0.6920394632569922,0.9022980732976582,21.8,0.0,105.74,159.2,80.54439250008727,83.1523761009521,57.83725099900039,58.18903000217688,79.70161400044162,82.02162449942989,0,0,0,0,[]
armbench.pi05_libero_async.v1,selected_tasks,libero_spatial,,10,10,True,async_unguarded,5,4,200.0,,50,50,18,0.36,0.24138749651846741,0.49858983123887307,18,0.36,0.24138749651846741,0.49858983123887307,22.96,0.0,110.4,211.82,80.6105834999471,83.06217859935714,57.84192950159195,58.15958899966063,79.75627400082885,81.97928900026454,0,0,0,0,[]
armbench.pi05_libero_async.v1,selected_tasks,libero_spatial,,10,10,True,latency_aligned,5,0,0.0,,50,50,50,1.0,0.9286524008666414,1.0,50,1.0,0.9286524008666414,1.0,21.5,0.0,0.0,115.82,80.41390200014575,82.9218219001632,57.82264200024656,58.100137400469976,79.5765590009978,81.92699759965762,0,0,0,0,[]
armbench.pi05_libero_async.v1,selected_tasks,libero_spatial,,10,10,True,latency_aligned,5,2,100.0,,50,50,48,0.96,0.8653990931249297,0.9889611156723802,48,0.96,0.8653990931249297,0.9889611156723802,16.18,0.0,78.02,120.24,80.4756810030085,83.02304860117147,57.8299650005647,58.170512399374275,79.62878699981957,81.91090039981646,0,0,0,0,[]
armbench.pi05_libero_async.v1,selected_tasks,libero_spatial,,10,10,True,latency_aligned,5,4,200.0,,50,50,50,1.0,0.9286524008666414,1.0,50,1.0,0.9286524008666414,1.0,12.82,0.0,60.62,120.9,80.71979199667112,83.0944230001478,57.84929999936139,58.1903610000154,79.83851799872355,81.93613899857155,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,0,10,10,True,async_unguarded,5,0,0.0,,5,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,18.0,0.0,0.0,98.4,80.5770040005882,82.97247260106815,57.8823209998518,58.11340289837972,79.67051749983511,81.89105684941751,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,0,10,10,True,async_unguarded,5,2,100.0,,5,5,4,0.8,0.37553462976252533,0.9637758913675698,4,0.8,0.37553462976252533,0.9637758913675698,23.8,0.0,115.6,173.0,80.78309999837074,83.3351198991295,57.92425199979334,58.342131600147695,79.91306600160897,82.03518110021832,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,0,10,10,True,async_unguarded,5,4,200.0,,5,5,1,0.2,0.03622410863243014,0.6244653702374747,1,0.2,0.03622410863243014,0.6244653702374747,24.0,0.0,115.4,221.4,80.90561949939001,82.83061164984247,57.861839999532094,58.173734600131866,79.9626249990979,81.64237925138877,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,0,10,10,True,latency_aligned,5,0,0.0,,5,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,18.4,0.0,0.0,100.4,80.59780999792565,83.18059505018027,57.91471549855487,58.16849620132416,79.79981999960728,82.22408620022179,0,0,0,0,[]
