schema_version,episode_id,pair_id,task_suite,task_id,episode_index,mode,replan_steps,latency_steps,fixed_refresh_interval,query_index,observation_step,response_step,inference_latency_ms,policy_inference_latency_ms,server_inference_latency_ms,injected_latency_steps_requested,injected_latency_steps_executed,action_chunk_steps,accepted,decision,rejection_reasons,position_mismatch_m,orientation_mismatch_rad,gripper_mismatch_linf,error_stage,error_type,error_message
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,0,10,10,18648.64088700051,18126.427554001566,18646.551009998802,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,1,15,15,83.61535699805245,58.09976399905281,82.34253600312513,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,2,20,20,82.36731400029385,57.973350001702784,81.10773400039761,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,3,25,25,82.40383899828885,58.006915998703334,81.44637100122054,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,4,30,30,81.16754699949524,57.92981500053429,80.15226299903588,0,0,10,True,accepted_unguarded,,0.0,2.9802322387695312e-08,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,5,35,35,81.29541900052573,57.98119999963092,80.31579900125507,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,6,40,40,81.96917500026757,57.967229000496445,80.89037500030827,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,7,45,45,83.03313800206524,58.26114899900858,81.93668999956571,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,8,50,50,81.66027300103451,58.0730069996207,80.7432149995293,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,9,55,55,80.45217799735838,57.944797998061404,79.62202499766136,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,10,60,60,80.35083299910184,57.89614199966309,79.60560799983796,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,11,65,65,80.44432799943024,57.9029319997062,79.54033599889954,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,12,70,70,80.60786900023231,57.902553999156225,79.85036399986711,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,async_unguarded,5,0,,13,75,75,80.73193299787818,57.90973100010888,79.87595299709938,0,0,10,True,accepted_unguarded,,0.0,0.0,0.0,,,
