scenario,profile,clearance_mm,speed_scale,delay_ms,payload_mass,trajectory_duration_s,path_length_rad,planning_elapsed_ms,feedback_mode,rmse,max_tracking_error,final_goal_error,torque_saturation_count,joint_limit_violation_steps,obstacle_contact_steps,obstacle_contact_events,obstacle_contact_duration_s,max_contact_force_n,max_penetration_m,self_contact_steps,safe_success,video_path,poster_path,trace_path
single_block,nominal_fast,0,0.35,0,0.0,2.6388166786248304,3.846339901281834,18.53539999865461,delayed,0.018319802367718747,0.13872641305032085,0.0014808579169653946,1,0,3,1,0.006,112.77216752828305,8.34121776313243e-05,0,False,videos\single_block__nominal_fast__delay_000ms__payload_0.0kg.mp4,videos\single_block__nominal_fast__delay_000ms__payload_0.0kg.png,traces\single_block__nominal_fast__delay_000ms__payload_0.0kg.npz
single_block,nominal_fast,0,0.35,40,0.0,2.6388166786248304,3.846339901281834,18.53539999865461,delayed,0.326145436493545,1.5964803289399838,0.4854102343881559,1722,0,179,8,0.358,4360.091391457823,0.014806498239418146,0,False,,,traces\single_block__nominal_fast__delay_040ms__payload_0.0kg.npz
single_block,nominal_fast,0,0.35,80,0.0,2.6388166786248304,3.846339901281834,18.53539999865461,delayed,0.7992124896580822,2.541445345892231,1.9109300903574404,1999,265,0,0,0.0,0.0,0.0,0,False,videos\single_block__nominal_fast__delay_080ms__payload_0.0kg.mp4,videos\single_block__nominal_fast__delay_080ms__payload_0.0kg.png,traces\single_block__nominal_fast__delay_080ms__payload_0.0kg.npz
single_block,nominal_fast,0,0.35,0,0.5,2.6388166786248304,3.846339901281834,20.851799999945797,delayed,0.01848951755118192,0.1388040951450857,0.001959432295078667,1,0,3,2,0.006,141.3514730013305,9.996822888028861e-05,0,False,,,traces\single_block__nominal_fast__delay_000ms__payload_0.5kg.npz
single_block,nominal_fast,0,0.35,40,0.5,2.6388166786248304,3.846339901281834,20.851799999945797,delayed,0.4059816919424545,2.03723717771766,0.9481627560784287,1698,0,58,2,0.116,4933.674406239797,0.019155155432574594,0,False,,,traces\single_block__nominal_fast__delay_040ms__payload_0.5kg.npz
single_block,nominal_fast,0,0.35,80,0.5,2.6388166786248304,3.846339901281834,20.851799999945797,delayed,0.8409191382090969,2.8574077551838366,1.5948053050513507,2018,206,90,5,0.18,4103.067287352414,0.03800084607291157,25,False,,,traces\single_block__nominal_fast__delay_080ms__payload_0.5kg.npz
single_block,nominal_slow,0,0.1,0,0.0,9.235858375186904,3.846339901281834,18.53539999865461,delayed,0.030330556238761533,0.07179207168533785,0.020830362605531616,0,0,5,1,0.01,32.0391607598144,5.90382200568243e-05,0,False,,,traces\single_block__nominal_slow__delay_000ms__payload_0.0kg.npz
single_block,nominal_slow,0,0.1,40,0.0,9.235858375186904,3.846339901281834,18.53539999865461,delayed,0.02534031916332262,0.0669081914407974,0.02133110426140672,0,0,6,1,0.012,32.77921865192277,9.366925276913657e-05,0,False,,,traces\single_block__nominal_slow__delay_040ms__payload_0.0kg.npz
single_block,nominal_slow,0,0.1,80,0.0,9.235858375186904,3.846339901281834,18.53539999865461,delayed,0.020758425532413305,0.06382540731566377,0.02186466886204097,0,0,7,1,0.014,33.69187140867007,0.0001461146879223607,0,False,,,traces\single_block__nominal_slow__delay_080ms__payload_0.0kg.npz
single_block,nominal_slow,0,0.1,0,0.5,9.235858375186904,3.846339901281834,20.851799999945797,delayed,0.03135963384590709,0.08693329454237653,0.02078464318197104,0,0,10,3,0.02,37.74916378704832,8.661432989293116e-05,0,False,,,traces\single_block__nominal_slow__delay_000ms__payload_0.5kg.npz
single_block,nominal_slow,0,0.1,40,0.5,9.235858375186904,3.846339901281834,20.851799999945797,delayed,0.026615295459611575,0.08405094954003034,0.021571451723411794,0,0,11,2,0.022,37.989271095173805,0.00015055365008048716,0,False,,,traces\single_block__nominal_slow__delay_040ms__payload_0.5kg.npz
single_block,nominal_slow,0,0.1,80,0.5,9.235858375186904,3.846339901281834,20.851799999945797,delayed,0.022570013512952018,0.08484116028729272,0.022374493500400217,0,0,12,2,0.024,47.80200334723871,0.0001540719412299607,0,False,,,traces\single_block__nominal_slow__delay_080ms__payload_0.5kg.npz
single_block,clearance_slow,20,0.1,0,0.0,15.4515462402695,4.986069488606006,62.03300000197487,delayed,0.02837698602264798,0.11419899698330915,0.01336548427588835,0,0,0,0,0.0,0.0,0.0,0,True,,,traces\single_block__clearance_slow__delay_000ms__payload_0.0kg.npz
single_block,clearance_slow,20,0.1,40,0.0,15.4515462402695,4.986069488606006,62.03300000197487,delayed,0.025201898535844914,0.11026224999613865,0.012484134263026414,0,0,0,0,0.0,0.0,0.0,0,True,,,traces\single_block__clearance_slow__delay_040ms__payload_0.0kg.npz
single_block,clearance_slow,20,0.1,80,0.0,15.4515462402695,4.986069488606006,62.03300000197487,delayed,0.022583538622780803,0.10697532281261424,0.011299108926012491,0,0,0,0,0.0,0.0,0.0,0,True,videos\single_block__clearance_slow__delay_080ms__payload_0.0kg.mp4,videos\single_block__clearance_slow__delay_080ms__payload_0.0kg.png,traces\single_block__clearance_slow__delay_080ms__payload_0.0kg.npz
single_block,clearance_slow,20,0.1,0,0.5,15.4515462402695,4.986069488606006,79.79500000510598,delayed,0.030089321942191685,0.12422600018244995,0.016682466810110985,0,0,0,0,0.0,0.0,0.0,0,True,,,traces\single_block__clearance_slow__delay_000ms__payload_0.5kg.npz
single_block,clearance_slow,20,0.1,40,0.5,15.4515462402695,4.986069488606006,79.79500000510598,delayed,0.02716793793730258,0.12019233293540604,0.016575777429280292,0,0,0,0,0.0,0.0,0.0,0,True,,,traces\single_block__clearance_slow__delay_040ms__payload_0.5kg.npz
single_block,clearance_slow,20,0.1,80,0.5,15.4515462402695,4.986069488606006,79.79500000510598,delayed,0.024833549208420222,0.11627841000874573,0.01626244889390316,0,0,0,0,0.0,0.0,0.0,0,True,,,traces\single_block__clearance_slow__delay_080ms__payload_0.5kg.npz
narrow_gate,nominal_fast,0,0.35,0,0.0,2.8812213729630884,3.982348514911654,29.052699996100273,delayed,0.018105451964334853,0.13872641305032085,0.00014431465400099874,0,0,0,0,0.0,0.0,0.0,0,True,,,traces\narrow_gate__nominal_fast__delay_000ms__payload_0.0kg.npz
narrow_gate,nominal_fast,0,0.35,40,0.0,2.8812213729630884,3.982348514911654,29.052699996100273,delayed,0.46789479850401744,2.3587211537911283,0.8871737911389939,1843,61,12,1,0.024,701.3460909868684,0.0018434110884794006,0,False,,,traces\narrow_gate__nominal_fast__delay_040ms__payload_0.0kg.npz
narrow_gate,nominal_fast,0,0.35,80,0.0,2.8812213729630884,3.982348514911654,29.052699996100273,delayed,0.8071695437439194,2.7427740363785373,2.089660037983796,2168,304,46,2,0.092,1945.389821520882,0.020670849729335757,523,False,,,traces\narrow_gate__nominal_fast__delay_080ms__payload_0.0kg.npz
narrow_gate,nominal_fast,0,0.35,0,0.5,2.8812213729630884,3.982348514911654,26.506499998504296,delayed,0.018446673171845243,0.1388040951450857,0.0002842923170306433,0,0,0,0,0.0,0.0,0.0,0,True,,,traces\narrow_gate__nominal_fast__delay_000ms__payload_0.5kg.npz
narrow_gate,nominal_fast,0,0.35,40,0.5,2.8812213729630884,3.982348514911654,26.506499998504296,delayed,0.3515417852801301,1.7302819473723308,1.1790476923603344,1780,0,363,10,0.726,6341.242252958122,0.018005123306513854,0,False,,,traces\narrow_gate__nominal_fast__delay_040ms__payload_0.5kg.npz
narrow_gate,nominal_fast,0,0.35,80,0.5,2.8812213729630884,3.982348514911654,26.506499998504296,delayed,0.8425211985987557,3.7077272383226245,2.586914285971001,2249,260,112,4,0.224,4141.670533308234,0.027596694240327714,7,False,,,traces\narrow_gate__nominal_fast__delay_080ms__payload_0.5kg.npz
narrow_gate,nominal_slow,0,0.1,0,0.0,10.084274805370807,3.982348514911654,29.052699996100273,delayed,0.03080185056483144,0.10622248757336822,0.007657047409362128,0,0,8,1,0.016,31.227898083418957,7.728662618763926e-05,0,False,,,traces\narrow_gate__nominal_slow__delay_000ms__payload_0.0kg.npz
narrow_gate,nominal_slow,0,0.1,40,0.0,10.084274805370807,3.982348514911654,29.052699996100273,delayed,0.026420014905742452,0.10163913946236347,0.007825978055767402,0,0,10,1,0.02,35.528672621585805,0.00015510941550394425,0,False,,,traces\narrow_gate__nominal_slow__delay_040ms__payload_0.0kg.npz
narrow_gate,nominal_slow,0,0.1,80,0.0,10.084274805370807,3.982348514911654,29.052699996100273,delayed,0.02253558657031904,0.09736999969895227,0.009459676352132018,0,0,12,1,0.024,40.502006926244974,0.00019057573760122848,0,False,,,traces\narrow_gate__nominal_slow__delay_080ms__payload_0.0kg.npz
