scenario,condition,mode,chunk,source,deadline_exceeded,fallback_latched,end_to_end_latency_ms,guard_latency_ms,horizon,unsafe_raw_steps,intervention_steps,hold_steps,safe_after_guard
single_block,fresh_safe_jitter,unguarded,0,scripted_non_learned,False,False,0.0,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,1,scripted_non_learned,False,False,39.99999999996362,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,2,scripted_non_learned,False,False,80.00000000004093,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,3,scripted_non_learned,False,False,159.99999999996817,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,4,scripted_non_learned,False,False,0.0,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,5,scripted_non_learned,False,False,39.99999999996362,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,6,scripted_non_learned,False,False,80.00000000004093,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,7,scripted_non_learned,False,False,159.99999999996817,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,8,scripted_non_learned,False,False,0.0,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,9,scripted_non_learned,False,False,39.99999999996362,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,10,scripted_non_learned,False,False,80.00000000004093,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,11,scripted_non_learned,False,False,159.99999999996817,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,12,scripted_non_learned,False,False,0.0,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,13,scripted_non_learned,False,False,39.99999999996362,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,14,scripted_non_learned,False,False,80.00000000004093,0.0,15,,0,0,
single_block,fresh_safe_jitter,unguarded,15,scripted_non_learned,False,False,159.99999999996817,0.0,15,,0,0,
single_block,fresh_safe_jitter,guarded,0,scripted_non_learned,False,False,0.0,4.8383999965153635,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,1,scripted_non_learned,False,False,39.99999999996362,4.8284000004059635,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,2,scripted_non_learned,False,False,80.00000000004093,4.438200005097315,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,3,scripted_non_learned,False,False,159.99999999996817,4.632200005289633,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,4,scripted_non_learned,False,False,0.0,4.0463999976054765,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,5,scripted_non_learned,False,False,39.99999999996362,3.632899999502115,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,6,scripted_non_learned,False,False,80.00000000004093,4.368100002466235,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,7,scripted_non_learned,False,False,159.99999999996817,3.880099997331854,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,8,scripted_non_learned,False,False,0.0,4.52670000231592,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,9,scripted_non_learned,False,False,39.99999999996362,3.8189999977475964,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,10,scripted_non_learned,False,False,80.00000000004093,3.6985000042477623,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,11,scripted_non_learned,False,False,159.99999999996817,4.502900002989918,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,12,scripted_non_learned,False,False,0.0,4.1082000025198795,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,13,scripted_non_learned,False,False,39.99999999996362,3.70919999841135,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,14,scripted_non_learned,False,False,80.00000000004093,7.063799996103626,15,0,0,0,True
single_block,fresh_safe_jitter,guarded,15,scripted_non_learned,False,False,159.99999999996817,3.8476999980048276,15,0,0,0,True
single_block,fresh_collision_fault,unguarded,0,scripted_non_learned,False,False,49.999999999954525,0.0,15,,0,0,
single_block,fresh_collision_fault,unguarded,1,scripted_non_learned,False,False,49.999999999954525,0.0,15,,0,0,
single_block,fresh_collision_fault,unguarded,2,scripted_non_learned,False,False,49.999999999954525,0.0,15,,0,0,
single_block,fresh_collision_fault,guarded,0,scripted_non_learned,False,False,49.999999999954525,5.308700005116407,15,10,10,9,True
single_block,fresh_collision_fault,guarded,1,scripted_non_learned,False,False,49.999999999954525,5.72929999907501,15,15,15,15,True
single_block,fresh_collision_fault,guarded,2,scripted_non_learned,False,False,49.999999999954525,6.434200004150625,15,15,15,15,True
single_block,mixed_deadline_jitter,unguarded,0,scripted_non_learned,False,False,0.0,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,1,scripted_non_learned,False,False,39.99999999996362,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,2,scripted_non_learned,False,False,80.00000000004093,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,3,scripted_non_learned,True,False,240.0000000000091,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,4,scripted_non_learned,False,False,0.0,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,5,scripted_non_learned,False,False,39.99999999996362,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,6,scripted_non_learned,False,False,80.00000000004093,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,7,scripted_non_learned,True,False,240.0000000000091,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,8,scripted_non_learned,False,False,0.0,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,9,scripted_non_learned,False,False,39.99999999996362,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,10,scripted_non_learned,False,False,80.00000000004093,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,11,scripted_non_learned,True,False,240.0000000000091,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,12,scripted_non_learned,False,False,0.0,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,13,scripted_non_learned,False,False,39.99999999996362,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,14,scripted_non_learned,False,False,80.00000000004093,0.0,15,,0,0,
single_block,mixed_deadline_jitter,unguarded,15,scripted_non_learned,True,False,240.0000000000091,0.0,15,,0,0,
single_block,mixed_deadline_jitter,guarded,0,scripted_non_learned,False,False,0.0,5.716599996958394,15,0,0,0,True
single_block,mixed_deadline_jitter,guarded,1,scripted_non_learned,False,False,39.99999999996362,3.750999996555038,15,0,0,0,True
single_block,mixed_deadline_jitter,guarded,2,scripted_non_learned,False,False,80.00000000004093,5.24779999977909,15,0,0,0,True
single_block,mixed_deadline_jitter,guarded,3,scripted_non_learned,True,True,240.0000000000091,2.3969000030774623,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,4,scripted_non_learned,False,True,0.0,2.5936999954865314,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,5,scripted_non_learned,False,True,39.99999999996362,2.339999999094289,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,6,scripted_non_learned,False,True,80.00000000004093,2.103200000419747,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,7,scripted_non_learned,True,True,240.0000000000091,2.1054000026197173,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,8,scripted_non_learned,False,True,0.0,2.4810000031720847,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,9,scripted_non_learned,False,True,39.99999999996362,2.199599999585189,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,10,scripted_non_learned,False,True,80.00000000004093,2.2770000068703666,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,11,scripted_non_learned,True,True,240.0000000000091,2.5520999988657422,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,12,scripted_non_learned,False,True,0.0,1.9179000009899028,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,13,scripted_non_learned,False,True,39.99999999996362,2.1212999999988824,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,14,scripted_non_learned,False,True,80.00000000004093,2.275500002724584,15,15,15,15,True
single_block,mixed_deadline_jitter,guarded,15,scripted_non_learned,True,True,240.0000000000091,1.9878999955835752,15,15,15,15,True
narrow_gate,fresh_safe_jitter,unguarded,0,scripted_non_learned,False,False,0.0,0.0,15,,0,0,
narrow_gate,fresh_safe_jitter,unguarded,1,scripted_non_learned,False,False,39.99999999996362,0.0,15,,0,0,
narrow_gate,fresh_safe_jitter,unguarded,2,scripted_non_learned,False,False,80.00000000004093,0.0,15,,0,0,
