schema_version,episode_id,pair_id,condition_order,task_suite,task_id,episode_index,mode,latency_source,replan_steps,latency_steps,query_index,observation_step,response_step,observation_captured_monotonic_ns,policy_call_started_monotonic_ns,policy_call_finished_monotonic_ns,response_ready_monotonic_ns,clock_trace_complete,observation_age_ms,inference_latency_ms,response_delivery_elapsed_ms,policy_inference_latency_ms,server_inference_latency_ms,response_jitter_requested_ms,jitter_key_sha256,completed_controller_steps,simulated_catchup_steps,action_chunk_steps,measured_stale_steps,action_offset_steps,selected_stop_step,available_suffix_steps,deadline_exceeded,horizon_overrun,age_refresh_index,fallback_hold_steps,alignment_disposition,alignment_reason,accepted,decision,rejection_reasons,position_mismatch_m,orientation_mismatch_rad,gripper_mismatch_linf,error_stage,error_type,error_message
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,async_unguarded,measured_wall,5,0,0,10,13,13426299122272,13426301752837,13426384976909,13426465200756,True,166.07848400053626,83.22407199921145,80.22384700052498,58.27753599987773,82.17409700046119,80.0,bce55c59cfa71ae6279a8208b3dca297c795f8126872548cb30ea496ef9a629e,3,3,10,4,0,9,6,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,,4.966944680786989e-05,0.0010952664283941137,0.00023800676258036585,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,async_unguarded,measured_wall,5,0,1,18,21,13426656177783,13426658697501,13426740888156,13426821082039,True,164.90425600022718,82.19065500088618,80.19388299908314,58.53024899988668,81.2944070003141,80.0,861ce11114ad9e5a68e8768aa9460a5e4d988c97d2ee9be3ae9938fe18a532a3,3,3,10,4,0,9,6,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.02940187932778374,0.01742489026746638,0.0001030478379483099,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,async_unguarded,measured_wall,5,0,2,26,29,13427009254219,13427011748385,13427092162163,13427172321485,True,163.0672660012351,80.41377799963811,80.15932200032694,58.32893300066644,79.52279999881284,80.0,cc52448f7b3c6fc696c0eb2d22f532037304d6bd99528f8edcb3051179224538,3,3,10,4,0,9,6,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.03895835770938903,0.01579611248306888,7.386705393227361e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,async_unguarded,measured_wall,5,0,3,34,38,13427363433820,13427366005839,13427447138138,13427607386627,True,243.95280699900468,81.13229900118313,160.2484889990592,58.16320200028713,80.33352500024193,160.0,b4c5fb7a6056cbd32ecdb7fecd3774d4bd404e501de14f84f1654963eeff3376,4,4,10,5,0,10,5,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.052742610150026514,0.020780018635021713,7.471070736038421e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,async_unguarded,measured_wall,5,0,4,43,47,13427817235821,13427819733504,13427901027294,13428061285071,True,244.0492500008986,81.29378999910841,160.2577770008793,58.03448799997568,80.53502000075241,160.0,881ef09b23d266af18680006e00674c715485ccabd007227d573de1e6b3b974e,4,4,10,5,0,10,5,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.04393105422559643,0.01942863857609535,4.646381658334614e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,async_unguarded,measured_wall,5,0,5,52,54,13428268964980,13428271483943,13428351772719,13428391909186,True,122.94420600119338,80.28877600008855,40.13646700150275,58.388258001286886,79.51806599885458,40.0,3b3c78f95c5020e90cafa5fc3a93c8b7fea99c61c0964d772d178a4bc382db98,2,2,10,3,0,8,7,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.024922020123891893,0.0038562192405414003,1.6388831025664075e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,async_unguarded,measured_wall,5,0,6,59,62,13428555161282,13428557680933,13428637894905,13428718062939,True,162.9016570004751,80.21397199991043,80.1680340009625,58.092045999728725,79.47301200147194,80.0,66e859a36a93ee0e546e2a69ddc94d2b8b56ef7fcdf0a3b26ee21f1f63dc37d9,3,3,10,4,0,9,6,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.03896881269332826,0.04884927190239241,4.741021781905219e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,async_unguarded,measured_wall,5,0,7,67,71,13429000534450,13429003104674,13429084100921,13429244363516,True,243.8290659993072,80.99624699934793,160.26259499994921,58.21008400016581,80.140633001065,160.0,ad219f706a082a6b789c40bbc538c6388282bb809b66ae070a29d509412ceb29,4,4,10,5,0,10,5,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,,0.005274464822322749,0.015903580097214022,0.016564757326727637,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,async_unguarded,measured_wall,5,0,8,76,77,13429570728136,13429573258330,13429654477298,13429654539143,True,83.81100700171373,81.21896800003015,0.061845001255278476,58.26646300010907,80.27003300048818,0.0,cc55fc72099d41f861d4ff54e998c90923d2e9d5fe044cc46aded768350d4685,1,1,10,2,0,7,8,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,,0.005106645412198039,0.007782212091996869,0.002185554281393578,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,async_unguarded,measured_wall,5,0,9,82,83,13429812480042,13429814988847,13429895264094,13429895316244,True,82.83620200018049,80.27524700082722,0.05214999873714987,58.054233000802924,79.50607999919157,0.0,2200c634f53a63e48d38baa51c86eb9169969cd0ef2350668e1c9ea7189bad1c,1,1,10,2,0,7,8,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,,0.008660256247630591,0.01585773733650712,0.0006250846559482433,,,
