schema_version,case_id,source_case_id,selection_index,source_row_index,scenario,profile,response_action_sha256,input_action_sha256,supervision_budget_ms,base_response_age_ms,activation_response_age_ms,supervisor_latency_ms,assurance_worker_latency_ms,qp_latency_ms,continuous_collision_latency_ms,dynamics_braking_latency_ms,fallback_brake_latency_ms,status,reason,supervisor_status,failure_stage,candidate_complete,candidate_action_count,published_action_count,policy_actions_executable,partial_prefix_exposed,all_or_none_publication,assurance_worker_thread_separate,fallback_validated,qp_feasible,qp_intervention_steps,joint_position_violation_steps,joint_velocity_violation_steps,joint_acceleration_violation_steps,continuous_edges_checked,continuous_unsafe_edges,continuous_indeterminate_edges,braking_boundaries_checked,braking_invalid_boundaries,all_registered_constraints_satisfied,unsafe_plan_published,software_budget_exceeded,response_deadline_exceeded,broad_phase_pair_tests,broad_phase_pruned_pairs,broad_phase_exact_pair_evaluations,broad_phase_prune_rate,safe_configuration_cache_hits,persistent_qp_solve_calls,persistent_brake_validation_calls
armbench.pi05_optimized_cpu_replay.v1,row_00763__free_space__direct_dispatch__operational_20ms,row_00763__free_space__direct_dispatch,0,763,free_space,operational_20ms,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,103.75407699757488,134.75407699297648,22.281200006545987,14.999999999417923,5.037800001446158,16.003400000045076,0.0,0.9688999998616055,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,6615,6332,283,0.9572184429327286,7,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00763__single_block__direct_dispatch__operational_20ms,row_00763__single_block__direct_dispatch,0,763,single_block,operational_20ms,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,102.52607700385852,133.52607700653607,21.484599994437303,31.000000002677552,3.1789000058779493,16.940300003625453,0.0,1.1604999963310547,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,4930,4746,184,0.9626774847870182,5,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00763__narrow_gate__direct_dispatch__operational_20ms,row_00763__narrow_gate__direct_dispatch,0,763,narrow_gate,operational_20ms,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,103.48747699754313,134.48747700022068,25.25719999539433,31.000000002677552,6.020600005285814,18.284899997524917,0.0,0.771700004406739,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,9720,9434,286,0.9705761316872428,7,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00458__free_space__direct_dispatch__operational_20ms,row_00458__free_space__direct_dispatch,1,458,free_space,operational_20ms,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,82.58776900765952,113.58776901033707,25.969200003601145,16.00000000325963,6.17459999921266,18.39290000498295,0.0,1.2109999952372164,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,7203,6883,320,0.9555740663612384,7,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00458__single_block__direct_dispatch__operational_20ms,row_00458__single_block__direct_dispatch,1,458,single_block,operational_20ms,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,82.50796900392743,129.50796900258865,22.08750000136206,30.999999995401595,6.45760000043083,14.299800001026597,0.0,1.1280999970040284,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,5610,5360,250,0.9554367201426025,5,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00458__narrow_gate__direct_dispatch__operational_20ms,row_00458__narrow_gate__direct_dispatch,1,458,narrow_gate,operational_20ms,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,83.1604690029053,99.16046899888897,22.705299998051487,15.999999995983671,5.536200005735736,15.983800003596116,0.0,1.0308999990229495,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,8856,8581,275,0.9689476061427281,6,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00222__free_space__direct_dispatch__operational_20ms,row_00222__free_space__direct_dispatch,2,222,free_space,operational_20ms,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.54230199957965,203.54230199882295,21.671700000297278,15.999999995983671,8.157399999618065,11.847800000396091,0.0,1.4320000045699999,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,True,3675,3519,156,0.9575510204081633,4,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00222__single_block__direct_dispatch__operational_20ms,row_00222__single_block__direct_dispatch,2,222,single_block,operational_20ms,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.895202001906,202.89520200458355,26.330199994845316,31.000000002677552,2.751300002273638,22.62450000125682,0.0,0.8346999966306612,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,True,11390,10791,599,0.9474100087796312,6,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00222__narrow_gate__direct_dispatch__operational_20ms,row_00222__narrow_gate__direct_dispatch,2,222,narrow_gate,operational_20ms,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.71460199460853,202.71460199728608,21.861399996851105,16.00000000325963,7.667400001082569,13.034700001298916,0.0,0.9374000001116656,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,3,0,10,5,False,False,True,True,3672,3554,118,0.9678649237472767,3,10,1
armbench.pi05_optimized_cpu_replay.v1,row_01467__free_space__direct_dispatch__operational_20ms,row_01467__free_space__direct_dispatch,3,1467,free_space,operational_20ms,0d05a20d8a90b30eac6e6dfc2e65c5d447cb062d06863c48db1367dbdc8d27af,4f17f5dfea4ea95c98fd42f459cd72d84c6d64fa6c129fbeb17b753364002cf1,20.0,92.3235240043141,123.32352400699165,23.67499999672873,31.000000002677552,5.814600001031067,16.76679999945918,0.0,0.8749999979045242,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,6321,6054,267,0.9577598481252966,7,10,1
