schema_version,case_id,payload_mass_kg,joint_damping_scale,velocity_profile,initial_velocity_rad_s,validated,failure_reason,stop_time_s,stopping_distance_l2_rad,max_joint_stopping_distance_rad,max_torque_ratio,evaluated_samples,latency_ms
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_00.5x__stationary,0.0,0.5,stationary,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",True,,0.0,0.0,0.0,0.31122557423036984,1,3.317599999718368
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_00.5x__low_forward,0.0,0.5,low_forward,"[0.25,-0.2,0.15,-0.125,0.1,-0.075,0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.3110348952398936,6,18.964899994898587
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_00.5x__low_reverse,0.0,0.5,low_reverse,"[-0.25,0.2,-0.15,0.125,-0.1,0.075,-0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.3156924311461064,6,20.3837999724783
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_00.5x__high_forward,0.0,0.5,high_forward,"[1.0,-0.8,0.6,-0.5,0.4,-0.3,0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.3078331130515524,21,73.88169999467209
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_00.5x__high_reverse,0.0,0.5,high_reverse,"[-1.0,0.8,-0.6,0.5,-0.4,0.3,-0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.31829241146505677,21,79.65979998698458
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_01.0x__stationary,0.0,1.0,stationary,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",True,,0.0,0.0,0.0,0.31122557423036984,1,3.1525000231340528
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_01.0x__low_forward,0.0,1.0,low_forward,"[0.25,-0.2,0.15,-0.125,0.1,-0.075,0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.3110348952398936,6,21.040899999206886
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_01.0x__low_reverse,0.0,1.0,low_reverse,"[-0.25,0.2,-0.15,0.125,-0.1,0.075,-0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.3165861623108852,6,22.200700012035668
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_01.0x__high_forward,0.0,1.0,high_forward,"[1.0,-0.8,0.6,-0.5,0.4,-0.3,0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.3078331130515524,21,74.6645999897737
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_01.0x__high_reverse,0.0,1.0,high_reverse,"[-1.0,0.8,-0.6,0.5,-0.4,0.3,-0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.31965569046742903,21,73.59240000369027
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_02.0x__stationary,0.0,2.0,stationary,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",True,,0.0,0.0,0.0,0.31122557423036984,1,2.66389999887906
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_02.0x__low_forward,0.0,2.0,low_forward,"[0.25,-0.2,0.15,-0.125,0.1,-0.075,0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.3110348952398936,6,20.75570001034066
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_02.0x__low_reverse,0.0,2.0,low_reverse,"[-0.25,0.2,-0.15,0.125,-0.1,0.075,-0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.31838213932237946,6,23.3322000131011
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_02.0x__high_forward,0.0,2.0,high_forward,"[1.0,-0.8,0.6,-0.5,0.4,-0.3,0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.3078331130515524,21,88.11279997462407
armbench.dynamics_braking_audit.v1,payload_00.0kg__damping_02.0x__high_reverse,0.0,2.0,high_reverse,"[-1.0,0.8,-0.6,0.5,-0.4,0.3,-0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.32458170023074157,21,85.75329999439418
